Ingreso,CAMPAÑAS,Monto USD,SERVICIOS,Plataformas
GOLDTECH,WHATSAPP,"1050,00 US$","CONTENT MANAGER, PAID MEDIA",META ADS
COMPARA SOFTWARE,CLIENTES POTENCIALES,"500,00 US$","CONTENT MANAGER, PAID MEDIA","GOOGLE ADS, META ADS"
CENTRAL DE BEBIDAS,"VENTAS, WHATSAPP","500,00 US$",PAID MEDIA,META ADS
ELITE SPORT,WHATSAPP,"500,00 US$",PAID MEDIA,META ADS
GARAGE,TRÁFICO,"450,00 US$","CONTENT MANAGER, PAID MEDIA, SOCIAL MEDIA",META ADS
SOBERANA,VENTAS,"380,00 US$",PAID MEDIA,META ADS
Lic. Mauricio González,"VENTAS, WHATSAPP","350,00 US$",PAID MEDIA,META ADS
EPIC WORLD,"CLIENTES POTENCIALES, WHATSAPP","350,00 US$",PAID MEDIA,META ADS
silvanamuzzino.arte,WHATSAPP,"350,00 US$",PAID MEDIA,META ADS
PAULA OIKOS,"CLIENTES POTENCIALES, TRÁFICO, WHATSAPP","350,00 US$",PAID MEDIA,META ADS
Inmobiliaria Obregón,"CLIENTES POTENCIALES, TRÁFICO, WHATSAPP","350,00 US$",PAID MEDIA,META ADS
UNIFORTEX,"TRÁFICO, WHATSAPP","350,00 US$",PAID MEDIA,"META ADS, TIKTOK ADS"
VENDRELL RIEGOS,WHATSAPP,"320,00 US$","CONTENT MANAGER, PAID MEDIA",META ADS
ANTARES,TRÁFICO,"300,00 US$",PAID MEDIA,META ADS
RISPOLI VIAJES,"CLIENTES POTENCIALES, WHATSAPP","280,00 US$",PAID MEDIA,META ADS
RISPOLI TEENS,"CLIENTES POTENCIALES, TRÁFICO","280,00 US$",PAID MEDIA,"META ADS, TIKTOK ADS"
GO TRAVEL ACADEMY,"TRÁFICO, VENTAS","280,00 US$",PAID MEDIA,META ADS
PeakFlow,"CLIENTES POTENCIALES, TRÁFICO","250,00 US$",PAID MEDIA,META ADS
DAMATEC,"CLIENTES POTENCIALES, TRÁFICO","250,00 US$",PAID MEDIA,META ADS
CERAMICOS AVP,WHATSAPP,"220,00 US$",PAID MEDIA,META ADS
RAMINI,"TRÁFICO, VENTAS","200,00 US$",PAID MEDIA,META ADS
LASADELAILAS,"TRÁFICO, VENTAS, WHATSAPP","200,00 US$",PAID MEDIA,META ADS
JOYASBYLULA,"TRÁFICO, WHATSAPP","200,00 US$",PAID MEDIA,META ADS
AUTOMENDOZA,"TRÁFICO, WHATSAPP","200,00 US$",PAID MEDIA,META ADS
NOIRPRESS,"TRÁFICO, VENTAS","200,00 US$",PAID MEDIA,META ADS
THE ROSS,"TRÁFICO, VENTAS","200,00 US$",PAID MEDIA,META ADS
SERGIO SIMONE,,"180,00 US$",PAID MEDIA,META ADS
CBE LABORATORIO,WHATSAPP,"120,00 US$",PAID MEDIA,META ADS
INSTITUTO ENGLISH,WHATSAPP,"120,00 US$",PAID MEDIA,META ADS
BLUMA PRODUCCIONES,"CLIENTES POTENCIALES, TRÁFICO","70,00 US$",PAID MEDIA,META ADS
