Ingreso,CAMPAÑAS,Cotizaciones,Estado,Fecha,Forma de pago,Investigación de mercado,Monto ARS,Monto USD,Plataformas,SERVICIOS
GOLDTECH,WHATSAPP,"GOLDTECH | META ADS (https://app.notion.com/p/GOLDTECH-META-ADS-2d99627eeeff807f8d72c0c2fcb06f6f?pvs=21), GoldTech | Operations & Growth (https://app.notion.com/p/GoldTech-Operations-Growth-2e99627eeeff80d1b8f9ca4c55fb3ef7?pvs=21)",Activo,10/07/2026,"Adelantado, Vencido",,"1.522.500,00 ARS","1050,00 US$",META ADS,"CONTENT MANAGER, PAID MEDIA"
THE ROSS,"TRÁFICO, VENTAS","THE ROSS | META ADS (https://app.notion.com/p/THE-ROSS-META-ADS-2d99627eeeff800ca723de532681c898?pvs=21), THE ROSS | META ADS (https://app.notion.com/p/THE-ROSS-META-ADS-3339627eeeff807dab04e07e0fd6a3f8?pvs=21)",Perdido,10/06/2026,Adelantado,THE ROSS | INVESTIGACIÓN DE MERCADO (https://app.notion.com/p/THE-ROSS-INVESTIGACI-N-DE-MERCADO-3349627eeeff804b8d46d4f20351a069?pvs=21),"290.000,00 ARS","200,00 US$",META ADS,PAID MEDIA
ELITE SPORT,WHATSAPP,ELITE SPORT | META ADS (https://app.notion.com/p/ELITE-SPORT-META-ADS-2d99627eeeff801d823cfc94492304e7?pvs=21),Perdido,18/11/2025,Vencido,,"725.000,00 ARS","500,00 US$",META ADS,PAID MEDIA
NOIRPRESS,"TRÁFICO, VENTAS",NOIRPRESS | META ADS (https://app.notion.com/p/NOIRPRESS-META-ADS-2d99627eeeff802cb224f6737907f780?pvs=21),Activo,10/07/2026,Adelantado,NOIRPRESS | INVESTIGACIÓN DE MERCADO (https://app.notion.com/p/NOIRPRESS-INVESTIGACI-N-DE-MERCADO-3449627eeeff8016a014c389cd121dbc?pvs=21),"290.000,00 ARS","200,00 US$",META ADS,PAID MEDIA
AUTOMENDOZA,"TRÁFICO, WHATSAPP",AUTOMENDOZA | META ADS (https://app.notion.com/p/AUTOMENDOZA-META-ADS-2d99627eeeff802e805bd77ded94cce0?pvs=21),Perdido,10/06/2026,Adelantado,,"290.000,00 ARS","200,00 US$",META ADS,PAID MEDIA
GARAGE,TRÁFICO,GARAGE | META ADS (https://app.notion.com/p/GARAGE-META-ADS-2d99627eeeff80d9a309f0e9cd8e1a9c?pvs=21),Activo,10/07/2026,Adelantado,,"652.500,00 ARS","450,00 US$",META ADS,"CONTENT MANAGER, PAID MEDIA, SOCIAL MEDIA"
JOYASBYLULA,"TRÁFICO, WHATSAPP",JOYASBYLULA | META ADS (https://app.notion.com/p/JOYASBYLULA-META-ADS-2d99627eeeff80ccaa61d245aa2d2b3d?pvs=21),Perdido,10/04/2026,Adelantado,,"290.000,00 ARS","200,00 US$",META ADS,PAID MEDIA
ANTARES,TRÁFICO,ANTARES | META ADS (https://app.notion.com/p/ANTARES-META-ADS-2d99627eeeff8022bef6f994230f1f51?pvs=21),Perdido,29/12/2025,,,"435.000,00 ARS","300,00 US$",META ADS,PAID MEDIA
INSTITUTO ENGLISH,WHATSAPP,,Perdido,28/01/2026,,,"174.000,00 ARS","120,00 US$",META ADS,PAID MEDIA
CENTRAL DE BEBIDAS,"VENTAS, WHATSAPP",CENTRAL DE BEBIDAS | META ADS (https://app.notion.com/p/CENTRAL-DE-BEBIDAS-META-ADS-2d19627eeeff80ccbd54ffc996d2d8d0?pvs=21),Cotizado,17/06/2026,,,"725.000,00 ARS","500,00 US$",META ADS,PAID MEDIA
