Nombre,Comentarios,Fecha,Ingresos,Prioridad,Terminado
Presentación de Métricas VISITAS AL PERFIL,,10 de febrero de 2026,,Terminado,
Generar Agentes automza,,13 de febrero de 2026,,Terminado,
Generar Agentes garage,,13 de febrero de 2026,,Terminado,
Generar Agentes joyasbylula,,13 de febrero de 2026,,Terminado,
Generar Agentes elitesport,,13 de febrero de 2026,,Terminado,
Buscar plataforma de metricas automaticas,,13 de febrero de 2026,,Terminado,
Comparar plataformas de E-commerce,,13 de febrero de 2026,,Terminado,
"Crear IG, FB y TikTok marca personal",,15 de febrero de 2026,,Terminado,
Grabar videos de configuración de cuenta publicitaria,,25 de febrero de 2026,,Terminado,
Testimonio de mi servicio (video y msj),,26 de febrero de 2026,,Terminado,
Cotización BLUMA,,30 de enero de 2026,,Terminado,
RMN creativos/ Catálogo,,30 de enero de 2026,,Terminado,
Configuración Bluma,,6 de febrero de 2026,,Terminado,
Creativos GTA,,6 de febrero de 2026,,Terminado,
Chatbot GT,,13 de febrero de 2026,,Terminado,
Generar Agentes rispoli teens,,13 de febrero de 2026,,Terminado,
Generar Agentes bluma,,12 de febrero de 2026,,Terminado,
Guiones bluma,,11 de febrero de 2026,,Terminado,
REPORTE NOIRPRESS,,11 de marzo de 2026,NOIRPRESS (https://app.notion.com/p/NOIRPRESS-2ce9627eeeff8090a5afeae41f149996?pvs=21),Terminado,
REPORTE AUTOMENDOZA,,9 de marzo de 2026,AUTOMENDOZA (https://app.notion.com/p/AUTOMENDOZA-2ce9627eeeff80b5ab8fc39167cb7571?pvs=21),Terminado,
CREATIVOS AUTOMENDOZA,,6 de abril de 2026,AUTOMENDOZA (https://app.notion.com/p/AUTOMENDOZA-2ce9627eeeff80b5ab8fc39167cb7571?pvs=21),Terminado,
PROBAR CHATBOT,DOC CON FALLAS,18 de marzo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
CARGAR STOCK ACCESORIOS,CREAR BASE DE DATOS DE COTIZACIONES Y CARGAR EL STOCK,12 de marzo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
CA RISPOLI VIAJES GENERAL,,9 de marzo de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
CA RISPOLI TEENS GENERAL,,16 de marzo de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
REUNION THE ROSS METRICAS,,9 de marzo de 2026,THE ROSS (https://app.notion.com/p/THE-ROSS-2949627eeeff81a98e21d8627c0c1067?pvs=21),Terminado,
REPORTE GARAGE,,9 de marzo de 2026,GARAGE (https://app.notion.com/p/GARAGE-2ce9627eeeff805eba21ee3342494772?pvs=21),Terminado,
ESTRATEGIA MKT Y NUEVOS CREATIVOS,,9 de marzo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
REMERAS NUEVAS,,12 de marzo de 2026,RAMINI (https://app.notion.com/p/RAMINI-2d59627eeeff8069a211e8473727a0ba?pvs=21),Terminado,
FORMATO PLACAS INMOBILIARIA,,9 de marzo de 2026,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Terminado,
VER CREATIVOS,,9 de marzo de 2026,BLUMA PRODUCCIONES (https://app.notion.com/p/BLUMA-PRODUCCIONES-2f79627eeeff80cabbbcdadabe6387b8?pvs=21),Terminado,
AGREGAR SALDO CON MP,,10 de marzo de 2026,RISPOLI VIAJES (https://app.notion.com/p/RISPOLI-VIAJES-3179627eeeff80ba8a88f07335737229?pvs=21),Terminado,
APAGAR CA NQN,,11 de marzo de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
AGREGAR IMPORTE GASTADO SEMANAL,,11 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
SHEET LEADS DEL 1 AL 10 E HISTORICO,Mandar por mail,11 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
AJUSTAR PRESUPUESTO 70USD DIARIOS,,10 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
CA LA RIOJA,,13 de marzo de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
CARGAR STOCK IPHONE,CREAR BASE DE DATOS DE COTIZACIONES Y CARGAR EL STOCK,12 de marzo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
CA CATAMARCA,,13 de marzo de 2026,RISPOLI TEENS (https://app.notion.com/p/RISPOLI-TEENS-3029627eeeff80fe8bf6c7d3ff151bff?pvs=21),Terminado,
EVENTO LATAM FIELDS 2 ABRIL,,19 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
LEADS HISTORICO HASTA EL 1/3,,19 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
BASE DE DATOS COTIZACIONES IPHONE,,13 de marzo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
CREATIVOS NOIRPRESS,,13 de marzo de 2026,NOIRPRESS (https://app.notion.com/p/NOIRPRESS-2ce9627eeeff8090a5afeae41f149996?pvs=21),Terminado,
Acceso sdeoto,,16 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
Acceso giorgivivi,,17 de marzo de 2026,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Terminado,
Uso comp de datos wsp,,16 de marzo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
lista de clientes y ca de ventas por wsp,,30 de marzo de 2026,GOLDTECH (https://app.notion.com/p/GOLDTECH-2949627eeeff81879685ddccf9286eec?pvs=21),Terminado,
ACTUALIZAR SHEETS MAU Y SANTI,,19 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
ANALISIS CA ACTUALES COMPARA,,23 de marzo de 2026,COMPARA SOFTWARE (https://app.notion.com/p/COMPARA-SOFTWARE-2ee9627eeeff8054adbbdb46e4455de0?pvs=21),Terminado,
CREAR CA OBREGON,,18 de marzo de 2026,Inmobiliaria Obregón (https://app.notion.com/p/Inmobiliaria-Obreg-n-30c9627eeeff80e0b22cca9b9c6ee3d2?pvs=21),Terminado,
